Group Type,Metric,Strategy,Value,p-value,Significant
random,$NDCG_{mean}$,SAE-TopK,0.69177353,,False
sim,Popularity,ELSA-INT,0.42584333,,False
outlier,$NDCG_{com}$,SAE-TopK,0.5426734,,False
outlier,$NDCG_{min}$,SAE-TopK,0.49436113,0.4511107665322841,False
outlier,$NDCG_{min}$,SAE-Max,0.4946885,,False
random,$NDCG_{com}$,ADD,0.63250697,0.058066357560141744,False
sim,$NDCG_{mean}$,SAE-TopK,0.7033003,0.30973727852744853,False
random,$NDCG_{com}$,SAE-TopK,0.6353158,,False
sim,$NDCG_{mean}$,ADD,0.70359665,,False
random,Popularity,ELSA-INT,0.4142101,,False
outlier,$NDCG_{mean}$,SAE-TopK,0.6719432,,False
sim,$NDCG_{min}$,SAE-TopK,0.5582832,,False
sim,$NDCG_{min}$,ADD,0.55707026,0.12373726803954747,False
sim,$NDCG_{min}$,SAE-Avg,0.5581118,0.42315221470242304,False
sim,$NDCG_{com}$,SAE-Avg,0.6367474,0.060860872503739366,False
outlier,Popularity,ELSA-INT,0.17404938,,False
random,$NDCG_{min}$,SAE-Avg,0.53734607,0.2574872417952298,False
sim,$NDCG_{com}$,ADD,0.63668895,0.07485614299086167,False
random,$NDCG_{min}$,SAE-TopK,0.5381926,,False
sim,$NDCG_{com}$,SAE-TopK,0.63861185,,False
outlier,$NDCG_{com}$,POPULAR,0.43579206,2.6028196683474454e-54,True
random,$NDCG_{mean}$,ELSA-INT,0.57851934,2.18774270427613e-146,True
random,$NDCG_{mean}$,SAE-Avg,0.6888917,4.180855083984124e-05,True
outlier,$NDCG_{com}$,SAE-Max,0.51934594,4.900109430412306e-12,True
outlier,$NDCG_{com}$,ADD,0.51958597,5.252898596928203e-15,True
random,$NDCG_{mean}$,ELSA,0.67572486,4.343896750646139e-23,True
random,$NDCG_{mean}$,SAE-ComF,0.63883287,2.149583934639859e-110,True
outlier,$NDCG_{com}$,LMS,0.4184398,7.228170331178107e-69,True
outlier,$NDCG_{com}$,SAE-ComF,0.4028251,9.767434506555525e-109,True
outlier,$NDCG_{com}$,GFAR,0.36893404,2.2715317371273015e-197,True
outlier,$NDCG_{com}$,SAE-WCom,0.51791394,8.692814090637123e-20,True
random,Popularity,LMS,0.5107029,3.861077904063035e-122,True
random,Popularity,MPL,0.44915473,1.025026375841235e-30,True
outlier,$NDCG_{com}$,MPL,0.25654325,4.5017178464311174e-306,True
random,Popularity,ELSA,0.5273773,1.7794407944309682e-204,True
random,Popularity,SAE-Avg,0.5410824,6.581037504104101e-171,True
random,Popularity,SAE-ComF,0.49128443,4.2424552867163805e-87,True
outlier,$NDCG_{com}$,SAE-Avg,0.524008,4.0943638297834415e-11,True
random,Popularity,SAE-Max,0.54372156,1.6984642822043254e-176,True
random,Popularity,EPFuzzDA,0.5325361,2.4043940876560243e-166,True
